project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
E-Learning Personalization Engine,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,4.75,8,5,2244489,3.9,8,E-commerce,Disruptive,Idea,UG,3444,100,8,30.68,Low
Autonomous Delivery Drone System,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,0.1,2,8,1776891,23.46,2,E-commerce,Incremental,MVP,PG,1184,76,10,39.21,Low
Smart Healthcare Monitoring Platform,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,6,0.04,9,1,5753066,15.3,10,EdTech,Incremental,Idea,PhD,2047,92,3,16.9,Low
Personalized Nutrition Recommendation System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,4,2.57,9,3,2438388,15.19,5,AI,Incremental,MVP,PhD,2888,39,2,13.42,Low
Automated Financial Advisory System,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,4,4.71,2,10,1475689,2.44,4,HealthTech,Disruptive,MVP,PG,1478,44,8,28.97,Low
AI-Based Crop Monitoring System,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,4.55,4,2,6259859,7.79,6,E-commerce,Disruptive,Prototype,PG,2613,4,6,21.44,Low
Autonomous Delivery Drone System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,5,4.85,10,2,2668505,22.37,8,FinTech,Incremental,Idea,PG,3798,62,8,33.31,Low
E-Learning Personalization Engine,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,5,1.94,2,5,3504679,8.92,9,FinTech,Disruptive,Idea,PhD,2062,45,1,7.78,Low
AI-Powered Fraud Detection System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,4.93,8,1,2240919,0.14,3,EdTech,Disruptive,Idea,PhD,391,35,3,12.43,Low
Cloud-Based Business Intelligence Platform,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,3.03,10,7,3863339,21.58,8,FinTech,Incremental,MVP,UG,4875,34,1,13.1,Low
Smart Healthcare Monitoring Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",6,1.63,3,8,5525989,22.18,1,FinTech,Incremental,Idea,UG,2690,1,5,22.76,Low
Virtual Reality Learning Environment,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,1.18,7,9,7568158,2.77,3,AgriTech,Disruptive,Idea,PG,863,52,4,18.39,Low
Smart Traffic Management System,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,6,0.7,7,4,6226204,1.92,3,E-commerce,Disruptive,MVP,PhD,3157,28,2,10.24,Low
Blockchain-Powered Digital Payments,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,4.04,9,5,1585557,11.41,4,E-commerce,Incremental,MVP,PhD,1981,75,10,37.98,Low
Online Mental Health Support Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,4,1.78,1,1,5905544,16.19,9,AgriTech,Disruptive,Prototype,PhD,2675,77,9,32.38,Low
Automated Financial Advisory System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",3,0.03,8,9,1964109,5.55,3,E-commerce,Disruptive,Idea,UG,4779,24,6,24.69,Low
Smart Healthcare Monitoring Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,1,2.02,1,10,6494531,6.17,7,AgriTech,Disruptive,Idea,UG,3457,3,1,7.59,Low
Smart Waste Management Solution,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,5,1.42,1,1,235281,12.57,6,HealthTech,Disruptive,Prototype,PhD,854,96,1,8.03,Low
